UF;Indicador 1;Nota 1;Indicador 2;Nota 2;Indicador 3;Nota 3;Classificação da CAPAG;Qualidade da informação contábil e fiscal;Observação
AC;38,63%;A;92,15%;B;-0,43%;C;C;Bicf;
AL;90,77%;B;90,28%;B;1,01%;B;B;Bicf;
AM;40,72%;A;93,92%;B;0,82%;B;B+;Aicf;
AP;66,46%;B;79,36%;A;0,11%;B;B;Eicf;
BA;53,41%;A;86,97%;B;5,39%;A;A+;Aicf;
CE;54,81%;A;90,06%;B;9,51%;A;A;Cicf;
DF;27,37%;A;95,27%;C;0,90%;B;C;Bicf;A CAPAG do DF foi revisada com base no art. 31, § 1º, inciso I da Portaria STN 217, de 2024. A publicação do RREO 6º bi 2024 trouxe indícios de deterioração fiscal.
ES;33,75%;A;81,72%;A;11,49%;A;A+;Aicf;
GO;-;-;-;-;-;-;C;Aicf;A CAPAG de GO foi revisada com base no art. 31, § 1º, inciso II, alínea a da Portaria STN 217, de 2024, e não possui indicadores individuais calculados.
MA;37,58%;A;89,02%;B;0,00%;B;B;Cicf;
MG;178,05%;C;94,93%;B;-10,33%;C;C;Bicf;
MS;45,03%;A;87,99%;B;7,91%;A;A+;Aicf;
MT;12,61%;A;81,92%;A;11,91%;A;A+;Aicf;
PA;19,55%;A;89,97%;B;1,40%;B;B;Bicf;
PB;41,65%;A;85,27%;B;24,22%;A;A;Bicf;
PE;44,54%;A;93,48%;B;0,77%;B;B+;Aicf;
PI;68,56%;B;92,05%;B;1,39%;B;B+;Aicf;
PR;49,07%;A;87,34%;B;23,68%;A;A+;Aicf;
RJ;203,65%;C;94,42%;B;-11,24%;C;C;Bicf;
RN;27,41%;A;95,23%;C;-13,91%;C;C;Aicf;
RO;41,57%;A;86,88%;B;10,29%;A;A+;Aicf;
RR;27,83%;A;91,35%;B;9,23%;A;A;Cicf;
RS;218,58%;C;95,57%;C;-9,77%;C;D;Bicf;
SC;54,23%;A;89,44%;B;8,58%;A;A+;Aicf;
SE;39,49%;A;90,95%;B;6,47%;A;A;Bicf;
SP;152,38%;C;89,64%;B;3,59%;B;B;Bicf;
TO;25,87%;A;90,15%;B;4,66%;B;B+;Aicf;
